59285360, VIMLE, Sofas & armchairs, 205.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-armrest-orrsta-black-blue-s59285360/, false,         Armrest, Ehlén Johansson, 93, 68, 15
79284958, VIMLE, Sofas & armchairs, 3805.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-4-seat-sofa-with-chaise-longue-gunnared-medium-grey-s79284958/, false,         4-seat sofa, Ehlén Johansson, 164, 83, 322
19284857, VIMLE, Sofas & armchairs, 2515.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-open-end-orrsta-black-blue-s19284857/, false,         3-seat sofa, Ehlén Johansson, 98, 83, 227
79295551, VIMLE, Sofas & armchairs, 2665.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-headrest-gunnared-medium-grey-s79295551/, false,         3-seat sofa, Ehlén Johansson, 98, 103, 241
99295593, VIMLE, Sofas & armchairs, 3535.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-chaise-longue-with-headrest-gunnared-medium-grey-s99295593/, false,         3-seat sofa, Ehlén Johansson, 164, 103, 252
9284909, VIMLE, Sofas & armchairs, 3385.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-chaise-longue-gunnared-medium-grey-s09284909/, false,         3-seat sofa, Ehlén Johansson, 164, 83, 252
69298772, VIMLE, Sofas & armchairs, 2610.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-dalstorp-multicolour-s69298772/, false,         3-seat sofa, Ehlén Johansson, 98, 83, 241
39292465, VIMLE, Beds, 4120.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-open-end-tallmyra-black-grey-s39292465/, false,         3-seat sofa-bed, Ehlén Johansson/IKEA of Sweden, 98, 83, 246
29292442, VIMLE, Sofas & armchairs, 3875.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-open-end-gunnared-medium-grey-s29292442/, false,         3-seat sofa-bed, IKEA of Sweden/Ehlén Johansson, 98, 83, 246
49292686, VIMLE, Beds, 4645.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-chaise-longue-gunnared-medium-grey-s49292686/, false,         3-seat sofa-bed, Ehlén Johansson/IKEA of Sweden, 98, 83, 271
19292678, VIMLE, Sofas & armchairs, 4645.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-chaise-longue-gunnared-beige-s19292678/, false,         3-seat sofa-bed, IKEA of Sweden/Ehlén Johansson, 98, 83, 271
69292275, VIMLE, Beds, 4265.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-gunnared-beige-s69292275/, false,         3-seat sofa-bed, Ehlén Johansson/IKEA of Sweden, 98, 83, 261
39298778, VIMLE, Sofas & armchairs, 4305.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-dalstorp-multicolour-s39298778/, false,         3-seat sofa-bed, Ehlén Johansson/IKEA of Sweden, 98, 83, 261
9219457, VIMLE, Sofas & armchairs, 2055.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-3-seat-section-orrsta-black-blue-s09219457/, false,         3-seat section, Ehlén Johansson, 98, 80, 211
89284712, VIMLE, Sofas & armchairs, 1995.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-orrsta-black-blue-s89284712/, false,         2-seat sofa, Ehlén Johansson, 98, 83, 171
29285521, VIMLE, Beds, 2945.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-section-gunnared-beige-s29285521/, false,         2-seat sofa-bed section, Ehlén Johansson/IKEA of Sweden, 98, 83, 160
29285521, VIMLE, Sofas & armchairs, 2945.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-section-gunnared-beige-s29285521/, false,         2-seat sofa-bed section, Ehlén Johansson/IKEA of Sweden, 98, 83, 160
